company,description,country,city,found_date,size_min,size_max
Sketch-tech,,Egypt,,,,
Tidal,"Tidal is one of the Software Company. Its main purpose is to provide the market with business integrated software that enhances the firm's ability to generate reports on a timely, accurate, and comprehensive basis, thus supporting managers in their decision-making process.
Since 2010 and up till now, Tidal has been able to create strong roots and a concrete name in the software market in Gulf Area and the Middle East. Its services encompass all aspects of systems engineering including  ... See More",Egypt,,,,
Osolutions,"We Help businesses to sell more & more… 

Along the past few years, Osolutions managed to help many brands achieve their success through data-driven solutions by creating a new transformational way for brands to experience the expansion at the market and reaching the optimum results by turning the measurable estimations into actual results leading to maximizing ROI. ",Egypt,Cairo,2010-01-01,,
Safa Soft,"Safa Soft.

Safa Soft is a multinational company provides professional B2B solutions in the travel industry for the public and private sectors. ",Egypt,Cairo,,,
Nahdet Misr Publishing Group,"Nahdet Misr Publishing House was established by Ahmed Ibrahim in 1938 to provide cultural enrichment for all sectors of the society, to raise public awareness and knowledge and to develop the creative and intellectual potential of all individuals. Creating and maintaining a long history of collaboration with the best authors and illustrators in Egypt and the Arab World allowed Nahdet Misr to publish over 10,000 cultural and educational books for adults and children as well as to succee ... See More",Egypt,Cairo,2008-01-01,,
iStoria,"It is the most effective application for learning and developing the English language with both fun and simplicity. It expands your vocabulary to more than 3,000 words through some certified stories and starts from your level until you achieve professionalism anytime and anywhere in a unique and unprecedented way. ",Egypt,Giza,1938-01-01,1000,
Fruitful Solutions,"Fruitful Solutions is a technology company that innovates turnkey solutions to a wide span of industries; We strongly felt that it is the right time to bring industry 4.0 applications to everyone’s life, where people can live smarter, easier and healthier in a new era of Artificial intelligence; We have a team of expert innovators with a set of high experiences in providing Design & development of industry 4.0 technologies ( Hardware & Software), and we have done many projects to many  ... See More",Egypt,Cairo,2020-01-01,,
Sky Distribution,"SKY Distribution establish in 2007, was designed specifically to launch Etisalat the third Mobile Operator in the Telecom Industry and has recently succeeded in acquiring Samsung Mobile Phones Agency. We are the only Telecom Distribution company in the Egyptian market that can provide a mix of sales target with a high technological distribution methodology through its fully Implemented handheld devises SKY is a subsidiary of UNIVEST Group, holds the place as the holding company’s Distr ... See More",Egypt,Cairo,2018-01-01,,
Softec Technologies,"The background and history of Softec Technologies goes back to the 1980s. It is a software solutions and services company with international global clients and part of a 500 million USD common shareholding group operating in more than 25 countries. The group’s first setup was in the UK with the development team is based in Egypt. The software development arm in the group has been an authorized localization partner with Microsoft in Redmond, UK, one of the pioneers to perform localizati ... See More",Egypt,Giza,,,
Injaz Tech for advanced systems,"IT solutions Provider Company. We have a rich and diverse domain expertise in a number of areas and are therefore uniquely positioned to assist our clients to enhance their bottom-line processes and productivity. Injaz Tech is therefore a leading edge software firm which combines experienced senior leadership with highly talented, multi-functional professionals to deliver extraordinary value to its clients. ",Egypt,Cairo,1980-01-01,,
DX Republic,,Egypt,Cairo,,,
DEVOPSOLUTION,"DEVOPSOLUTION is a full-service creative agency established in 2018, dedicated to providing innovative and inspiring solutions to local and international companies. Our team of experts specializes in web development, mobile app development, RPA, chatbots, motion graphics, branding, and digital marketing. We offer tailored solutions to meet the unique needs of our clients, helping them to achieve their digital transformation goals. Let us help you create a seamless customer experience t ... See More",Egypt,,,,
BI-Technologies,"About Us

BI-Technologies is considered one of the leading Software House in the Middle East & Africa offering complete Business Software Solutions.  Our deep belief that software is never the ultimate goal sought by our clients, but is merely just a first step, is the main reason any software product offered by BI-Technologies is encapsulated in a comprehensive, tailored series of services that are uniquely designed and accurately timed to improve the beneficiaries of the business pro ... See More",Egypt,Cairo,2018-01-01,,
Obeikan Digital Solutions,Obeikan Investment Group has one overriding goal: to inspire socio-economic growth and aggressively promote home-grown manufacturing excellence. ,Egypt,Cairo,2006-01-01,,
Easy Cash,"Driven by the Central Bank & the Egyptian Government efforts towards supporting the digital transformation into a seamless economy, encouraging cashless transactions and promoting Digital Payments, EasyCash was established as the leading Fin-tech company in Egypt, availing a state of art payment solutions, and contributing to transformation towards seamless economy. EasyCash aims to encourage Egyptian to make cashless transactions making the payment process easier and creating a seamle ... See More",Egypt,Cairo,1982-01-01,,
TRIMETIS,"Trimetis AG, headquartered in Europe/Vienna is expanding and ramping up a new entity in Egypt/Cairo. We have over ten years of experience in serving clients in Germany, Austria, Switzerland via our well-established service center in Poland. 
The Trimetis service portfolio ranges from Extended Teams via Managed Teams to Agile Projects. Our experts are highly skilled in latest programming languages and development techniques. As a supplier of choice, we provide excellent quality in an ef ... See More",Egypt,Cairo,2019-01-01,,
Tafeel,"TAFEEL IT Co., a Saudi Arabian Company, is a leading software and consultancy house working closely with customers by adding pragmatic value to their business & administrations, and by utilizing the world-class technologies combined with a solid experience. TAFEEL extends its activities based on relationships with strategic partners  leading providers of information technology and consultancy solutions - to promote and implement unique products and services while building long-term rel ... See More",Egypt,Cairo,2012-01-01,,
Latalia,"Latalia started as a universal general trading company with its expertise in various fields. Looking to further expand its basis in Egypt. We are looking for strategists, creatives, and digital experts, IT specialists committed to delivering results that matter. ",Egypt,Cairo,2007-01-01,,
FlapKap,"When it comes to funding, large-scale businesses have always had smoother access to credit whereas most SMEs struggled with their cashflows. And this is where we come in. We’re here to offer tailored growth solutions to make it a level playing field for SMEs. Our mission is to provide extremely fast, flexible and insightful funding to SMEs businesses across the MENA region. ",United Arab Emirates,Dubai,2020-01-01,,
MakanE Company,,Egypt,Cairo,2022-01-01,,
JRM for Communications,"JRM for Communications is a regional institution leading the market through providing the latest technological solutions with a professional team committed to quality and providing creative solutions.
JRM was established in 1983 for the sole purpose of maintaining and repairing the telephone network in Marriott hotel. The company has gradually evolved in technicalities and the number of employees, each excelling in different fields. The founders of JRM for Communications were 3 main pa ... See More",Jordan,,,,
Charterhouse Middle East,,Egypt,Cairo,1983-01-01,,
flydubai,,Qatar,Doha,,,
Veeseven Child Protective,,United Arab Emirates,Dubai,,,
Merck Sharp & Dohme Corp,,United Arab Emirates,Dubai,,,
Trapeze,,Egypt,Cairo,,,
Wicresoft,"An integrated IT service provider dedicated to providing end-to-end, one-stop digital services for global customers
Shanghai Wicresoft Co., Ltd. was founded in 2002 as Microsoft's first joint venture company in China. Over the past 20 years, as a comprehensive service provider for enterprise digitalization, Wicresoft brings together more than 10,000 professionals locally and from abroad with a commitment to providing high-standard IT services and solutions for global customers, and hel ... See More",United Arab Emirates,Dubai,,,
Four Seasons Hotels and Resorts,,Egypt,,2002-01-01,1000,
BSmart,"BSmart is an Egyptian startup located in Cairo that specializes in Enterprise Human Resources Management Systems (HRMS) and Enterprise Human Capital Management Systems (HCMS). We have decades of accumulated experience in developing and operating enterprise systems, particularly in Human Resources Management Systems. We have put this experience into our outstanding system, BSmart! ",Kuwait,Kuwait City,,,
Jessour Misr,"Jessour Masr For Investment Development & Project Management part Sherif Baghdadi Group Companies.

Jessour Misr is the place where an innovative, out-of-the-box approach is our powerful practice in tackling challenging projects; circulated through all our activities and procedures.

In Jessour Misr we have expanded Our Business Areas to lead the Investment, Development & Project Management in several industries such as Real Estate & Hospitality; integrated residential, resort projects ... See More",Egypt,Cairo,2020-01-01,,
Horizon Agency,"Horizon is a fully integrated digital marketing agency that builds up a useful, connected, and targeted digital presence that grows businesses and helps form relationships between brands and humans.
At Horizon we simply consider ourselves as a new generation agency, yet we’re one of the leading and fast-growing agencies in the Middle East serving different and various brands regionally and abroad. ",Egypt,Cairo,1993-01-01,,
LINK Development,"LINK Development, an A15 subsidiary, is a leading Technology Solution Provider in the Middle East and Worldwide. Founded in 1996, the company now operates through offices in Egypt (HQ), UAE, KSA, Qatar, Italy and Canada.
We are your One-Stop-Shop for all technology and digital needs, with extensive knowledge and experience in the region. We provide top notch IT solutions including Software Development, Customer Relationship Management, Mobile Applications, Infrastructure, E-Commerce. W ... See More",Egypt,Cairo,2012-01-01,,
Fawry for Banking Technology and Electronic Payments S.A.E,"Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses through more than 65 thousand locations and a variety of channels. Fawry offers a convenient and reliable way to pay bills in multiple channels (online, using ATMs , mobile wallets and retail points)

Fawry’s network of retailers includes small groceries, pharmacies and stationaries, and post-offices, all equipped with point-of-sale machines – the same ones used for credit card pay ... See More",Egypt,Cairo,,,
Perfect Presentation,"2P Telecommunication and Information Technology was established in the capital of Saudi Arabia – home to its headquarters - in 2004, when it first launched Wissal, followed by Tarasul in 2005 and a year later by Smart Cash, the first service of its kind in the Kingdom. This allowed it to be among the first technology companies to offer a complete range of integrated services. Since its inception, 2P has continued to grow, with the number of employees increasing by tenfold, and 85% of t ... See More",Egypt,Giza,,1000,
ICIS,"ICIS is an Information technology company in Cairo/ Egypt and it is a branch of ICIS Company in Riyadh/ Saudi Arabia which serving the Saudi market since 2008,
It provides enterprise software solutions, IT consulting, Systems Security Management, Data Masking, and many other IT products and services,
ICIS is the Golden Oracle Partner. ",Egypt,Cairo,,,
PETC,,Egypt,Cairo,2008-01-01,,
Holix,A service aggregator platform specializing in consumer services. ,United Arab Emirates,,,,
"Honeywell International, Inc.",,Egypt,Cairo,,,
Ejada,"EJADA is a leading IT services provider in the Middle East and Africa (MEA) region, enabling enterprises and public-sector organizations to maintain and increase their competitive edge through innovative IT solutions.

We offer a unique value proposition by combining a locally based, culturally aware workforce with comprehensive cross-industry solutions and strategic partnerships with global technology vendors.

We have been recognized among the top IT services providers serving Saudi  ... See More",United Arab Emirates,Abu Dhabi,,,
ManpowerGroup Middle East,,Egypt,Cairo,2005-01-01,1000,
BDO Esnad,"BDO Esnad is an Egypt-based outsourcing company. The company was established to provide organizations with business process outsourcing (BPO) services that aim to drive long-term cost reductions while keeping a focus on continuous performance improvement. The BPO services provided by BDO Esnad include Contact Center outsourcing, Payroll outsourcing, Finance & Accounting outsourcing, Human Resource outsorcing and Market Research outsourcing. These services are extended to organizations  ... See More",United Arab Emirates,Dubai,,,
The Address Investments for Real Estate Consultancy,The Address Investments'  is one of the leading real estate companies in Egypt and Middle East with a long-term vision to gain recognition as a trusted brand to ensure major contribution in a healthy developing Real Estate Market. We are a renowned group of experts & consultants in the Real Estate field were gathered to bring our clients their dream homes with the luxury of choosing among a variety of different developments ensuring the best deal tailored to suit the budget of our clie ... See More,Egypt,Cairo,,,
