company,sector
Tidal,Computer Software
Osolutions,Marketing and Advertising
Safa Soft,Marketing and Advertising
Safa Soft,Computer Software
Safa Soft,Information Technology Services
Nahdet Misr Publishing Group,Publishing and Printing
iStoria,Computer Software
iStoria,E-Learning
Fruitful Solutions,Information Technology Services
Fruitful Solutions,Electronics and Semiconductors
Fruitful Solutions,Manufacturing
Sky Distribution,Consumer Services
Sky Distribution,Logistics and Supply Chain
Sky Distribution,Retail
Softec Technologies,Computer Software
Softec Technologies,Information Technology Services
Injaz Tech for advanced systems,Computer and Network Security
Injaz Tech for advanced systems,Computer Software
Injaz Tech for advanced systems,Information Technology Services
DX Republic,Computer and Network Security
DX Republic,Computer Software
DX Republic,Information Technology Services
DEVOPSOLUTION,Animation
DEVOPSOLUTION,Information Technology Services
BI-Technologies,Computer Software
Obeikan Digital Solutions,Computer Software
Obeikan Digital Solutions,Information Technology Services
Easy Cash,Financial Services
TRIMETIS,Information Technology Services
Tafeel,Computer and Network Security
Tafeel,Computer Software
Latalia,Marketing and Advertising
Latalia,Construction - Industrial Facilities and Infrastructure
Latalia,Wholesale Trade
FlapKap,Financial Services
JRM for Communications,Information Technology Services
JRM for Communications,Telecommunications
Wicresoft,Information Technology Services
BSmart,Computer Software
BSmart,Human Resources
Jessour Misr,Information Technology Services
Jessour Misr,Food Services/Restaurants/Catering
Jessour Misr,Investment Banking
Horizon Agency,Marketing and Advertising
Horizon Agency,Computer Software
Horizon Agency,Media Production
LINK Development,Information Technology Services
Fawry for Banking Technology and Electronic Payments S.A.E,Financial Services
Perfect Presentation,Information Technology Services
ICIS,Computer Software
ICIS,Information Technology Services
Holix,Information Technology Services
Ejada,Computer and Network Security
Ejada,Computer Software
Ejada,Information Technology Services
BDO Esnad,Outsourcing/Offshoring
The Address Investments for Real Estate Consultancy,Real Estate/Property Management
The Address Investments for Real Estate Consultancy,Consulting Services
ACT Advanced Computer Technology,Computer and Network Security
intella,Computer Software
intella,Information Technology Services
intella,Market Research
Algoriza,Computer Software
eSense,Computer Software
eSense,Information Technology Services
Asset Technology Group,Computer Software
Asset Technology Group,Information Technology Services
Kgroup,FMCG
Zewail City,Higher Education
Zewail City,Non-Profit Organizations
Breadfast,FMCG
Breadfast,Food and Beverage Production
Smart Cards application,Computer Software
Cepack,Packaging and Containers
Informatique Education,Information Technology Services
3D Diagnostix,Healthcare and Medical Services
3D Diagnostix,Medical Devices and Supplies
Royal Cyber,Information Technology Services
conveyou,Information Technology Services
conveyou,Training and Coaching
conveyou,Consulting Services
etmana,Marketing and Advertising
etmana,Apparel and Fashion
etmana,Internet/E-commerce
Olivery,Computer Software
Olivery,Logistics and Supply Chain
International Advanced,Computer Software
3S Software,Computer Software
3S Software,Information Technology Services
Alexandria Business Association- SMEs Project,Non-Profit Organizations
El Banna Group Company,Agriculture/Fishing/Farming
El Banna Group Company,FMCG
El Banna Group Company,Import and Export
Alexandria For Programming,Computer Software
Alexandria For Programming,Information Technology Services
Dimofinf Operations Center,Information Technology Services
Dimofinf Operations Center,Internet/E-commerce
MTS-IT,Computer Software
MTS-IT,Information Technology Services
Optasia,Computer Software
Optasia,Information Technology Services
Optasia,Telecommunications
Octane solutions,Information Technology Services
FlairsTech,Computer Software
