job_title,description,requirements,post_date,viewed,considered,experience_min,experience_max,career_level,education_level,salary_min,salary_max,hidden_salary,gender,vacancies,company_name,country,city,district
Full Stack Developer,"full stack Developer using php 3+Yrs of Exp We are looking for a passionate PHP developer, Accepted candidate will have the following requirements:•Strong knowledge of PHP web frameworks ""Laravel ""•Strong knowledge of Web services, Integrations, REST API•Understanding the fully synchronous behavior of PHP.•Understanding of MVC design patterns.•A good understanding of front-end technologies, such as Java Script, j Query, Angular, HTML5, and CSS3.•Good Knowledge of object-oriented PHP programming.•Strong knowledge of the common PHP or web server exploits and their solutions.•Word Press experience is a plus. The job requires you to have at least +3 year of experience. Full-time job located in Alexandria officeand feel free to share it with your friends and those who might be interested",,2023-11-01,,,1,2,Experienced (Non-Manager),,,,True,,1,Sketch-tech,Egypt,Alexandria,Glim
Senior Backend Developer (.NET Core)," Review, test and debug team members’ code Desi database architecture Schedule product releases with interna teams Docume development phases Enure our applications are secure and up-to-date","Work experience as a Senior Java Developer or similar role BSc in Computer Science, Engineering or relevant field",2023-11-01,,,5,7,Experienced (Non-Manager),,,,True,,1,Confidential,Egypt,Cairo,
Dot Net Web Developer,"Handle web-based systems Work on Microsoft stack (C#, ASP. NET MVC, Netcore  T-SQL, Web API)Develop from scratch in a . NET environment using ASP. NET MVC &Web API framework Handle multiple tasks under tight deadlines Analysis, design, and implementation of high-performance software applications, and must be able to formulate creative solutions to difficult problems. Working with Entity Framework. Response Web Design Background Server Side development concepts","Bachelor Degree in Computer Sciences, Software Engineering Proficiency in the database (MS SQL-Mongo DB)Java Script (any library/framework)Proficiency in REST-based APIs. Good analytical skills Expert coding ability in C#. MUST be Experienced With git Experience with ERP application development is a plus. Experience working with Dev Express and Entity Framework. Advanced with modern web technologies such as Bootstrap, Strong knowledge of Java Script and experience with third-party Java Script libraries such as j Query, Knockout, Angular, etc.scratch Experience solving scalability problems and understanding how to optimize code/APIs to handle an increase in users. TDD, Unit, and integration testing experience Proficient with agile/scrum development methodology Excellent communication (written and verbal), analytical and interpersonal skills Fluency in Arabic & English languages",2023-11-01,,,2,,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,,True,M,5,Tidal,Egypt,Cairo,
Full Stack wordpress Developer,"We Are looking for Experienced & professional Full Stack Developer in a wide range of technologies including HTML, CSS, HTML5, CSS3, CSS frameworks, Java Script, j Query, PHP, Word Press,. Demonstrated ability to develop and deploy robust and dynamic web applications. Skilled in both front-end and back-end development, with a strong focus on user experience and functionality. Responsibilities: Develop and maintain responsive web applications using HTML, CSS, and CSS frameworks. Implement advanced features and functionality using Java Script, j Query, and other front-end technologies. Design and optimize database schemas, and write efficient queries for PHP and Laravel applications. Customize and extend Word Press functionality to meet project requirements. Collaborate with cross-functional teams to design, develop, and deploy high-quality web solutions. Debug and troubleshoot technical issues, ensuring smooth operation of web applications. Stay updated with the latest industry trends and emerging technologies in web development. Provide mentorship and guidance to junior developers, fostering a collaborative work environment.","Proven experience in full-stack development with a portfolio of successful projects. Proficient in HTML, CSS, HTML5, CSS3, and CSS frameworks. Strong command of Java Script, j Query, Angular, and front-end technologies. Expertise in back-end technologies including PHP and Laravel. Experience customizing and extending Word Press functionality. Familiarity with version control systems (e.g., Git). Knowledge of database design, optimization, and querying. Excellent problem-solving and debugging skills. ",2023-11-01,,,2,5,Experienced (Non-Manager),,,,True,,1,Osolutions,Egypt,Cairo,Sheraton
Senior Odoo Developer - (Onsite),"Responsibilities : Understand customer requirements and functional consulting tasks on existing Odoo apps. Working knowledge of ERP systems. Ensure all customised flow strongly. Rich knowledge in all industry domains Providing Guidance in development to developers White box testing with odoo python code. Functional expert for purchase, Warehouse, Accounting, massmail, MRP,contact, subscription, helpdesk, PLM, fleet Management, Website e-commerce, integration, HR, Timesheet, Payroll, Expense, Event management, POS, survey, Recruitment, Leaves, Maintenance, Odoo project management, Cost and revenue, Accounting Assets, payble, receivable, fixed assets, current assets, Liability, Liquidity, Income, expense, bank and Cash, Analyze customer requirement and documentation Well known for Access rights and record rule for all ERP Knowledge for all Accounting reports. Code review for odoo Python, XML, odoo CSV, for all MVC structure. Functional testing, white box testing, security testing, ad-hoc testing, Regression testing, Re-testing, Load testing, Manual testing. Odoo server management, Crete server with new Port with .conf and server file. Git Hub, Bitbucket repo management for better code review, code push, pull operation. Odoo settings and Configuration. Postgre SQL, Odoo database, Queries Odoo Multi-company settings, and multi-company management. Translation for Odoo system with PO file. Import/Export operation. Design and Develop ODOO apps (new module development and customization). Analyse the Scope document. Follow best practices in Software development to ensure the readability and maintainability of the code. Re-use the features available in ODOO to fulfill the Scope objectives. Create custom module in ODOO to meet the specific domain requirement. Follow source code checking process to maintain the code in Git Version Control. Follow best practices for secured Software Development.","5-7 years of work experience of Odoo/ Open ERP is a must. Working experience in Odoo version 12, 13+ Community and Enterprise Edition. Experience in developing & configuring Odoo applications/modules in the areas of Sales, Purchase, HR, Accounting, etc. Strong knowledge of Core Python and programming concepts Must have sound knowledge of Odoo MVC architecture. Sound judgement and independent decision-making regarding the viability of ERP solutions and abstract concepts. Experience in Odoo ERP Implementation full successful cycle. Experience in deploying and customizing Odoo ERP. Developing, using Python is plus.",2023-11-01,,,7,10,Experienced (Non-Manager),Bachelor's Degree,80000,100000,False,,3,Confidential,Egypt,Cairo,New Nozha
Front End Developer,"We are seeking a skilled React.js Developer with a strong understanding of front-end web development and experience in building user interfaces using React.js. In addition to React.js, knowledge of Angular is preferred. As a React.js Developer, you will collaborate with the development team to create scalable and responsive web applications, implement user interface components, and contribute to the overall front-end development efforts. This role requires expertise in React.js, proficiency in Java Script, and the ability to work in an agile development environment. Responsibilities:- Front-End Development: Develop user-facing features using React.js and other front-end technologies. Implement responsive and scalable web applications with clean and maintainable code. Collaborate with designers and back-end developers to translate UI/UX designs into functional components.- React.js Component Development: Build reusable and modular React.js components for efficient development and code reuse. Optimize components for maximum performance and reusability. Leverage React.js libraries and tools to streamline development processes.- Cross-Browser and Cross-Platform Compatibility: Ensure that web applications are compatible with various browsers and devices. Perform testing and debugging to identify and fix any issues related to cross-browser or cross-platform compatibility.- Code Quality and Documentation: Follow best practices for code quality, maintainability, and readability. Write clear and concise documentation for developed components and functionality. Collaborate with the development team to establish coding standards and guidelines.- Collaboration and Agile Development: Work closely with the development team to ensure seamless integration of front-end and back-end components. Participate in agile development processes, including sprint planning, daily stand-ups, and code reviews. Collaborate with designers, project managers, and stakeholders to understand project requirements and provide input on technical feasibility and implementation. Preferred Knowledge in Angular: While the primary focus of this role is React.js development, preferred knowledge in Angular is valued and may involve the following responsibilities: Develop Angular components and applications based on project requirements. Collaborate with other Angular developers and contribute to the overall front-end development efforts. Maintain and enhance existing Angular applications. Stay updated with the latest Angular features, tools, and best practices.","Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience).2+ years of experience in front-end web development using React.js. Strong proficiency in Java Script, HTML, and CSS. Experience with React.js workflows (such as Redux or Mob X) and modern front-end build tools (such as Webpack or Babel). Knowledge of cross-browser compatibility and responsive design principles. Familiarity with version control systems (such as Git) and agile development methodologies. Strong problem-solving and debugging skills. Excellent communication and collaboration skills. Preferred knowledge and experience in Angular will be an advantage.",2023-11-01,0,0,2,5,Experienced (Non-Manager),,,,True,,2,Safa Soft,Egypt,Cairo,Maadi
IT Clerk,"IT Admin  will provide administrative support and assist in the smooth operation of the IT systems and processes. The ideal candidate should have strong organizational skills, excellent attention to detail, and a basic understanding of IT concepts and systems. Help manage IT-related procurement, including processing purchase orders, tracking deliveries, and maintaining vendor relationships. Monitor and maintain inventory of IT equipment and supplies, ensuring availability and proper allocation. Researching and selecting hardware, software, and other IT equipment based on organizational needs, tracking equipment, and ensuring timely replenishment of IT supplies. IT administrative support often involves liaising with external vendors and service providers. This includes managing vendor relationships, coordinating service contracts, and resolving issues related to software licenses, warranties, and maintenance. ","Proven experience in administrative support roles, preferably in an IT or technical environment. Basic understanding of IT concepts, systems, and terminology. Proficient computer skills, including MS Office Suite (Word, Excel, Outlook). Strong communication and interpersonal skills, with the ability to collaborate effectively with team members and end-users. Familiarity with IT procurement processes and vendor management is a plus. 3+ Years of experience ",2023-11-01,,,3,5,Experienced (Non-Manager),,,,True,,1,Nahdet Misr Publishing Group,Egypt,Giza,
SAP SD CX function consultant,"Job description: Providing Subject Matter Expertise of best practices in use of SAP Customer Experience (CX)Analyzing and translating business requirements into alternative functional solutions, utilizing best practice and within the remit of the enterprise architecture Designing, building and testing SAP solutions in accordance with existing programmed templates Conversing with technical and non-technical audiences Providing a level of operational support to users including training and remediation Providing guidance and consultancy to business users and other functional consultants Key Responsibilities: Provide business, functional, and technical support on SAP Sales and CX solutions Gather requirements and assess gaps in the current business processes and configurations Provide technology consulting expertise to develop alternatives and recommendations to address gaps Develop solutions for SAP Sales and CX requirements Lead testing and defect resolution of implemented SAP Sales and CX solutions","Bachelor Degree in Information Mgmt. Sciences & Systems At least 3-4 years of experience Proven ability to build, manage and foster a team-oriented environment. Proven ability to work creatively and analytically in a problem-solving environment Desire to work in an information systems environment Excellent communication skills prevised experience in  vendor side preferable ",2023-11-01,,,3,4,Experienced (Non-Manager),,,,True,,1,Nahdet Misr Publishing Group,Egypt,Giza,
Senior Backend Developer (PHP),"As a Senior Developer, you will play an integral role in our engineering team, responsible for developing and maintaining our backend systems, integrating various platforms, and ensuring that our applications are optimized and delivered efficiently. Identify and analyze user requirements Prioritize, assign and execute tasks throughout the software development life cycle Write well-designed, efficient code Review, test and debug team members’ code Design database architecture Ensure our applications are secure and up-to-date Design, build and maintain efficient, reusable, and reliable backend code Develop robust APIs to serve the needs Set up and manage Continuous Integration and Continuous Deployment (CI/CD) workflows using Git Hub Actions and AWS serverless Identify bottlenecks and bugs, and devise solutions to these problems","At least 5 years of professional backend development experience Strong proficiency in PHP, especially with Laravel framework BSc or Master's degree in Computer Science, Engineering, or relevant field Experience with Test-Driven Development  (TTD)Good delegation and time management skills Problem-solving abilities Extensive knowledge of RESTful API design and development Familiarity with CI/CD tools and AWS serverless architectures Proficiency in Word Press customization and plugin development Previous experience with payment gateway integration Experience with Saa S development, particularly subscription-based models Ability to understand business requirements and translate them into technical requirements Good interpersonal and communication skills.",2023-11-01,2,0,4,7,Experienced (Non-Manager),Bachelor's Degree,,,True,,1,iStoria,Egypt,Cairo,
UX Designer,"We are looking for a user-experience (UX) designer able to understand our business requirements and any technical limitations, as well as be responsible for conceiving and conducting user research, interviews and surveys, and translating them into sitemaps, user flows, customer journey maps, wireframes, mockups and prototypes. The UX designer will also be expected to design the overall functionality of the product, and in order to ensure a great user experience, iterate upon it in accordance with user-testing. Your primary role will be to research and design usable interfaces, perform usability testing, and create prototypes to validate design concepts. The ideal candidate will use this information to help us create the best user experience possible for our website and mobile applications. As a UX designer, you'll ensure that the user experience for individuals using websites or applications is as efficient and satisfying as possible. You'll be involved in the design of digital products and services for specific target groups and end users and will need to understand motivations. Translate concepts into user flows, wireframes, mockups and prototypes that lead to intuitive user experiences. Leverage a human-centered design process to deliver an easy-to-use user interface and user experience Research customers, competitors, and products Design and deliver wireframes, user stories, user journeys, and mockups optimized for a wide range of devices and interfaces. Develop personas, scenarios, and user stories Work with stakeholders to identify requirements Develop and implement usability testing Design for accessibility standards Create and maintain usability documentation Work with developers to ensure product quality Work closely with product managers and marketing to maximize customer success Ensure products are tested with customers and validated against business goals","Bachelor’s degree in computer science, human-computer interaction, interaction design, or a related field.3+ years of experience in UX design principles. User interface design. Graphic design tools such as Adobe Photoshop or Illustrator. Wire framing/prototyping tools such as Balsamiq or Sketch. UX design tools such as Figma, Axure, or In Vision. Experience with user testing and usability analysis.",2023-11-01,,,3,5,Experienced (Non-Manager),,,,True,,2,Safa Soft,Egypt,Cairo,Maadi
