company,job_title,country,city,district,job_category
Sketch-tech,Full Stack Developer,Egypt,Alexandria,Glim,IT/Software Development
Confidential,Senior Backend Developer (.NET Core),Egypt,Cairo,,IT/Software Development
Confidential,Senior Backend Developer (.NET Core),Egypt,Cairo,,Engineering - Telecom/Technology
Tidal,Dot Net Web Developer,Egypt,Cairo,,IT/Software Development
Tidal,Dot Net Web Developer,Egypt,Cairo,,Engineering - Telecom/Technology
Osolutions,Full Stack wordpress Developer,Egypt,Cairo,Sheraton,IT/Software Development
Osolutions,Full Stack wordpress Developer,Egypt,Cairo,Sheraton,Engineering - Telecom/Technology
Confidential,Senior Odoo Developer - (Onsite),Egypt,Cairo,New Nozha,Installation/Maintenance/Repair
Confidential,Senior Odoo Developer - (Onsite),Egypt,Cairo,New Nozha,IT/Software Development
Confidential,Senior Odoo Developer - (Onsite),Egypt,Cairo,New Nozha,Engineering - Telecom/Technology
Safa Soft,Front End Developer,Egypt,Cairo,Maadi,Creative/Design/Art
Safa Soft,Front End Developer,Egypt,Cairo,Maadi,IT/Software Development
Safa Soft,Front End Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Nahdet Misr Publishing Group,IT Clerk,Egypt,Giza,,IT/Software Development
Nahdet Misr Publishing Group,IT Clerk,Egypt,Giza,,Engineering - Telecom/Technology
Nahdet Misr Publishing Group,SAP SD CX function consultant,Egypt,Giza,,IT/Software Development
iStoria,Senior Backend Developer (PHP),Egypt,Cairo,,Business Development
iStoria,Senior Backend Developer (PHP),Egypt,Cairo,,IT/Software Development
iStoria,Senior Backend Developer (PHP),Egypt,Cairo,,Engineering - Telecom/Technology
Safa Soft,UX Designer,Egypt,Cairo,Maadi,Creative/Design/Art
Safa Soft,UX Designer,Egypt,Cairo,Maadi,IT/Software Development
Safa Soft,UX Designer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Fruitful Solutions,C++ / Qt Developer,Egypt,Cairo,New Nozha,IT/Software Development
Fruitful Solutions,C++ / Qt Developer,Egypt,Cairo,New Nozha,Engineering - Telecom/Technology
Confidential,Software Development Team Leader,Egypt,Cairo,,IT/Software Development
Sky Distribution,Application Support - Microsoft dynamic Ax,Egypt,Giza,Sheikh Zayed,IT/Software Development
Confidential,Senior IT Infrastructure Engineer,Egypt,Cairo,,Installation/Maintenance/Repair
Confidential,Senior IT Infrastructure Engineer,Egypt,Cairo,,IT/Software Development
Confidential,Senior IT Infrastructure Engineer,Egypt,Cairo,,Engineering - Telecom/Technology
Softec Technologies,Senior Scrum Master,Egypt,Cairo,,IT/Software Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions),Egypt,Cairo,Heliopolis,Business Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions),Egypt,Cairo,Heliopolis,IT/Software Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions),Egypt,Cairo,Heliopolis,Sales/Retail
Confidential,Developer Engineer .NET,Egypt,Giza,6th of October,Business Development
Confidential,Developer Engineer .NET,Egypt,Giza,6th of October,IT/Software Development
Confidential,Developer Engineer .NET,Egypt,Giza,6th of October,Engineering - Telecom/Technology
DX Republic,UI UX Designer,Egypt,Cairo,,Creative/Design/Art
DX Republic,UI UX Designer,Egypt,Cairo,,IT/Software Development
DX Republic,UI UX Designer,Egypt,Cairo,,Engineering - Telecom/Technology
DEVOPSOLUTION,Senior Flutter Developer,Egypt,Cairo,Nasr City,IT/Software Development
DEVOPSOLUTION,Senior Flutter Developer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
BI-Technologies,Software Quality Assurance Engineer (Process Improvement),Egypt,Cairo,New Cairo,IT/Software Development
BI-Technologies,Software Quality Assurance Engineer (Process Improvement),Egypt,Cairo,New Cairo,Quality
BI-Technologies,Software Quality Assurance Engineer (Process Improvement),Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Confidential,Senior .NET Developer,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Senior .NET Developer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Obeikan Digital Solutions,Integration Engineer,Egypt,Cairo,,IT/Software Development
Confidential,Senior Software Quality Control Engineer (Nasr City),Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Senior Software Quality Control Engineer (Nasr City),Egypt,Cairo,Nasr City,Quality
Confidential,Senior Software Quality Control Engineer (Nasr City),Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Easy Cash,Senior Software Quality Engineer,Egypt,Cairo,Heliopolis,IT/Software Development
Easy Cash,Senior Software Quality Engineer,Egypt,Cairo,Heliopolis,Quality
Easy Cash,Senior Software Quality Engineer,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Easy Cash,Senior Backend Developer (PHP),Egypt,Cairo,Heliopolis,IT/Software Development
Easy Cash,Senior Backend Developer (PHP),Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Easy Cash,DevOps Engineer,Egypt,Cairo,Heliopolis,IT/Software Development
Easy Cash,DevOps Engineer,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
TRIMETIS,Senior Full Stack Developer Angular and Java,Egypt,Cairo,Maadi,IT/Software Development
TRIMETIS,Senior Full Stack Developer Angular and Java,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Confidential,Full Stack Team Lead,Egypt,Cairo,Maadi,IT/Software Development
Confidential,Full Stack Team Lead,Egypt,Cairo,Maadi,Operations/Management
Confidential,Full Stack Team Lead,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Tafeel,Senior Quality Control Engineer,Egypt,Cairo,Nasr City,IT/Software Development
Tafeel,Senior Quality Control Engineer,Egypt,Cairo,Nasr City,Quality
Tafeel,Senior Quality Control Engineer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Latalia,IT Account Manager,Egypt,Cairo,,Creative/Design/Art
Latalia,IT Account Manager,Egypt,Cairo,,IT/Software Development
Latalia,IT Account Manager,Egypt,Cairo,,Strategy/Consulting
FlapKap,Sr. Backend Software Engineer,Egypt,Cairo,Maadi,Accounting/Finance
FlapKap,Sr. Backend Software Engineer,Egypt,Cairo,Maadi,IT/Software Development
FlapKap,Sr. Backend Software Engineer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
MakanE Company,Senior Software Sales Representative,Egypt,Cairo,,Customer Service/Support
MakanE Company,Senior Software Sales Representative,Egypt,Cairo,,IT/Software Development
MakanE Company,Senior Software Sales Representative,Egypt,Cairo,,Sales/Retail
JRM for Communications,Communications Field Engineer,Egypt,Cairo,Nasr City,Installation/Maintenance/Repair
JRM for Communications,Communications Field Engineer,Egypt,Cairo,Nasr City,IT/Software Development
JRM for Communications,Communications Field Engineer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
JRM for Communications,Odoo Developer,Egypt,Cairo,Nasr City,IT/Software Development
Tafeel,Senior UI/UX Designer,Egypt,Cairo,Nasr City,Creative/Design/Art
Tafeel,Senior UI/UX Designer,Egypt,Cairo,Nasr City,IT/Software Development
Tafeel,Senior UI/UX Designer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Charterhouse Middle East,3D Visualizer (Specializing in Cinema 4D),United Arab Emirates,Dubai,,Engineering - Construction/Civil/Architecture
Charterhouse Middle East,3D Visualizer (Specializing in Cinema 4D),United Arab Emirates,Dubai,,Creative/Design/Art
Charterhouse Middle East,3D Visualizer (Specializing in Cinema 4D),United Arab Emirates,Dubai,,IT/Software Development
flydubai,Senior Analyst (Vendor Management) – IT PMO & Partnerships,United Arab Emirates,Dubai,,IT/Software Development
flydubai,Senior Analyst (Vendor Management) – IT PMO & Partnerships,United Arab Emirates,Dubai,,Analyst/Research
flydubai,Senior Analyst (Vendor Management) – IT PMO & Partnerships,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Veeseven Child Protective,E -Commerce APP Builder Intern,United Arab Emirates,Dubai,,IT/Software Development
Veeseven Child Protective,E -Commerce APP Builder Intern,United Arab Emirates,Dubai,,Marketing/PR/Advertising
Veeseven Child Protective,E -Commerce APP Builder Intern,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,CRM Intern,United Arab Emirates,Dubai,,IT/Software Development
Merck Sharp & Dohme Corp,CRM Intern,United Arab Emirates,Dubai,,Marketing/PR/Advertising
Merck Sharp & Dohme Corp,CRM Intern,United Arab Emirates,Dubai,,Sales/Retail
Merck Sharp & Dohme Corp,Data Science Intern,United Arab Emirates,Dubai,,Administration
Merck Sharp & Dohme Corp,Data Science Intern,United Arab Emirates,Dubai,,IT/Software Development
Merck Sharp & Dohme Corp,Data Science Intern,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Trapeze,Senior Field Support Engineer,United Arab Emirates,Dubai,,Installation/Maintenance/Repair
Trapeze,Senior Field Support Engineer,United Arab Emirates,Dubai,,IT/Software Development
Trapeze,Senior Field Support Engineer,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,Intern for TMC&F,United Arab Emirates,Dubai,,Accounting/Finance
Merck Sharp & Dohme Corp,Intern for TMC&F,United Arab Emirates,Dubai,,IT/Software Development
Merck Sharp & Dohme Corp,Intern for TMC&F,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,Data Analytics Intern,United Arab Emirates,Dubai,,IT/Software Development
Merck Sharp & Dohme Corp,Data Analytics Intern,United Arab Emirates,Dubai,,Analyst/Research
Merck Sharp & Dohme Corp,Data Analytics Intern,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,Web Developer,United Arab Emirates,Dubai,,Creative/Design/Art
Merck Sharp & Dohme Corp,Web Developer,United Arab Emirates,Dubai,,IT/Software Development
Merck Sharp & Dohme Corp,Web Developer,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Wicresoft,Technical Support Engineer-Freelancer,Egypt,Cairo,,IT/Software Development
Wicresoft,Technical Support Engineer-Freelancer,Egypt,Cairo,,Engineering - Telecom/Technology
Four Seasons Hotels and Resorts,Server - PenRose,United Arab Emirates,Dubai,,Installation/Maintenance/Repair
Four Seasons Hotels and Resorts,Server - PenRose,United Arab Emirates,Dubai,,IT/Software Development
Four Seasons Hotels and Resorts,Server - PenRose,United Arab Emirates,Dubai,,Engineering - Telecom/Technology
Confidential,IT Officer,Egypt,Giza,,IT/Software Development
Confidential,IT Officer,Egypt,Giza,,Engineering - Telecom/Technology
BSmart,Senior Software Sales Representative,Egypt,Cairo,Maadi,Business Development
BSmart,Senior Software Sales Representative,Egypt,Cairo,Maadi,IT/Software Development
BSmart,Senior Software Sales Representative,Egypt,Cairo,Maadi,Sales/Retail
Confidential,Senior Devops Engineer,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Technical Support Engineer,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,IT Apps Delivery Manager,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Business Analyst,Egypt,Cairo,Nasr City,IT/Software Development
Jessour Misr,Junior IT Specialist,Egypt,Giza,Abu Rawash,Installation/Maintenance/Repair
Jessour Misr,Junior IT Specialist,Egypt,Giza,Abu Rawash,IT/Software Development
Jessour Misr,Junior IT Specialist,Egypt,Giza,Abu Rawash,Engineering - Telecom/Technology
Horizon Agency,Senior Full Stack Developer,Egypt,Cairo,New Cairo,IT/Software Development
Horizon Agency,Senior Full Stack Developer,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Horizon Agency,WordPress Developer,Egypt,Cairo,New Cairo,IT/Software Development
Horizon Agency,WordPress Developer,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
LINK Development,.Net Development Manager,Egypt,Cairo,Maadi,IT/Software Development
LINK Development,.Net Development Manager,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,IT Help Desk Engineer,Egypt,Giza,6th of October,IT/Software Development
Perfect Presentation,Quality Control Engineer,Egypt,Giza,6th of October,IT/Software Development
Safa Soft,Scrum Master,Egypt,Cairo,Maadi,IT/Software Development
Safa Soft,Scrum Master,Egypt,Cairo,Maadi,Project/Program Management
Safa Soft,Scrum Master,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Confidential,Network Engineer,Egypt,Cairo,Maadi,Installation/Maintenance/Repair
Confidential,Network Engineer,Egypt,Cairo,Maadi,IT/Software Development
Confidential,Network Engineer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Confidential,IT Help Desk Technician,Egypt,Cairo,Basatin,Installation/Maintenance/Repair
Confidential,IT Help Desk Technician,Egypt,Cairo,Basatin,IT/Software Development
Confidential,IT Help Desk Technician,Egypt,Cairo,Basatin,Sales/Retail
ICIS,Full Stack Team Lead .Net & Angular,Egypt,Cairo,New Cairo,IT/Software Development
ICIS,Full Stack Team Lead .Net & Angular,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
ICIS,Senior Full Stack Developer .Net + Angular,Egypt,Cairo,New Cairo,IT/Software Development
ICIS,Senior Full Stack Developer .Net + Angular,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
PETC,Senior SEO / Senior Search Engine Optimization,Egypt,Giza,Mohandessin,IT/Software Development
Confidential,Senior Backend Software Engineer - (.Net),Egypt,Cairo,,IT/Software Development
Holix,Python Web Developer - Graduate Position,Egypt,Cairo,,IT/Software Development
"Honeywell International, Inc.",Cyber Security Architect/Engineer ll-ICS/OT-Saudi National Only,Saudi Arabia,Riyadh,,IT/Software Development
"Honeywell International, Inc.",Cyber Security Architect/Engineer ll-ICS/OT-Saudi National Only,Saudi Arabia,Riyadh,,Engineering - Telecom/Technology
"Honeywell International, Inc.",Cyber Security Architect/Engineer ll-ICS/OT-Saudi National Only,Saudi Arabia,Riyadh,,Engineering - Mechanical/Electrical
Ejada,.NET production Support Engineer (KSA),Saudi Arabia,Riyadh,,IT/Software Development
Ejada,.NET production Support Engineer (KSA),Saudi Arabia,Riyadh,,Engineering - Telecom/Technology
ManpowerGroup Middle East,DLP Engineer,Saudi Arabia,Riyadh,,IT/Software Development
ManpowerGroup Middle East,DLP Engineer,Saudi Arabia,Riyadh,,Sales/Retail
ManpowerGroup Middle East,DLP Engineer,Saudi Arabia,Riyadh,,Engineering - Telecom/Technology
BDO Esnad,IT Voice Administrator,Egypt,Cairo,Maadi,IT/Software Development
The Address Investments for Real Estate Consultancy,Senior SEO Specialist,Egypt,Cairo,New Cairo,IT/Software Development
The Address Investments for Real Estate Consultancy,Senior SEO Specialist,Egypt,Cairo,New Cairo,Marketing/PR/Advertising
The Address Investments for Real Estate Consultancy,Senior SEO Specialist,Egypt,Cairo,New Cairo,Analyst/Research
Confidential,UI UX Designer,Egypt,Cairo,Maadi,Creative/Design/Art
Confidential,UI UX Designer,Egypt,Cairo,Maadi,IT/Software Development
Confidential,UI UX Designer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
ACT Advanced Computer Technology,Network & Security Senior Specialist,Egypt,Cairo,,IT/Software Development
ACT Advanced Computer Technology,Network & Security Senior Specialist,Egypt,Cairo,,Engineering - Telecom/Technology
