company,job_title,country,city,district,job_type
Sketch-tech,Full Stack Developer,Egypt,Alexandria,Glim,Full Time
Confidential,Senior Backend Developer (.NET Core),Egypt,Cairo,,Full Time
Tidal,Dot Net Web Developer,Egypt,Cairo,,Full Time
Tidal,Dot Net Web Developer,Egypt,Cairo,,Shift Based
Osolutions,Full Stack wordpress Developer,Egypt,Cairo,Sheraton,Full Time
Confidential,Senior Odoo Developer - (Onsite),Egypt,Cairo,New Nozha,Full Time
Safa Soft,Front End Developer,Egypt,Cairo,Maadi,Full Time
Nahdet Misr Publishing Group,IT Clerk,Egypt,Giza,,Full Time
Nahdet Misr Publishing Group,SAP SD CX function consultant,Egypt,Giza,,Full Time
iStoria,Senior Backend Developer (PHP),Egypt,Cairo,,Full Time
Safa Soft,UX Designer,Egypt,Cairo,Maadi,Full Time
Fruitful Solutions,C++ / Qt Developer,Egypt,Cairo,New Nozha,Full Time
Confidential,Software Development Team Leader,Egypt,Cairo,,Full Time
Sky Distribution,Application Support - Microsoft dynamic Ax,Egypt,Giza,Sheikh Zayed,Full Time
Confidential,Senior IT Infrastructure Engineer,Egypt,Cairo,,Full Time
Softec Technologies,Senior Scrum Master,Egypt,Cairo,,Full Time
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions),Egypt,Cairo,Heliopolis,Full Time
Confidential,Developer Engineer .NET,Egypt,Giza,6th of October,Full Time
DX Republic,UI UX Designer,Egypt,Cairo,,Full Time
DEVOPSOLUTION,Senior Flutter Developer,Egypt,Cairo,Nasr City,Full Time
BI-Technologies,Software Quality Assurance Engineer (Process Improvement),Egypt,Cairo,New Cairo,Full Time
Confidential,Senior .NET Developer,Egypt,Cairo,Nasr City,Full Time
Obeikan Digital Solutions,Integration Engineer,Egypt,Cairo,,Full Time
Confidential,Senior Software Quality Control Engineer (Nasr City),Egypt,Cairo,Nasr City,Full Time
Easy Cash,Senior Software Quality Engineer,Egypt,Cairo,Heliopolis,Full Time
Easy Cash,Senior Backend Developer (PHP),Egypt,Cairo,Heliopolis,Full Time
Easy Cash,DevOps Engineer,Egypt,Cairo,Heliopolis,Full Time
TRIMETIS,Senior Full Stack Developer Angular and Java,Egypt,Cairo,Maadi,Full Time
TRIMETIS,Senior Full Stack Developer Angular and Java,Egypt,Cairo,Maadi,Work From Home
Confidential,Full Stack Team Lead,Egypt,Cairo,Maadi,Full Time
Tafeel,Senior Quality Control Engineer,Egypt,Cairo,Nasr City,Full Time
Latalia,IT Account Manager,Egypt,Cairo,,Work From Home
FlapKap,Sr. Backend Software Engineer,Egypt,Cairo,Maadi,Full Time
MakanE Company,Senior Software Sales Representative,Egypt,Cairo,,Full Time
JRM for Communications,Communications Field Engineer,Egypt,Cairo,Nasr City,Full Time
JRM for Communications,Odoo Developer,Egypt,Cairo,Nasr City,Full Time
Tafeel,Senior UI/UX Designer,Egypt,Cairo,Nasr City,Full Time
Charterhouse Middle East,3D Visualizer (Specializing in Cinema 4D),United Arab Emirates,Dubai,,Full Time
flydubai,Senior Analyst (Vendor Management) – IT PMO & Partnerships,United Arab Emirates,Dubai,,Full Time
Veeseven Child Protective,E -Commerce APP Builder Intern,United Arab Emirates,Dubai,,Full Time
Merck Sharp & Dohme Corp,CRM Intern,United Arab Emirates,Dubai,,Full Time
Merck Sharp & Dohme Corp,Data Science Intern,United Arab Emirates,Dubai,,Full Time
Trapeze,Senior Field Support Engineer,United Arab Emirates,Dubai,,Full Time
Merck Sharp & Dohme Corp,Intern for TMC&F,United Arab Emirates,Dubai,,Full Time
Merck Sharp & Dohme Corp,Data Analytics Intern,United Arab Emirates,Dubai,,Full Time
Merck Sharp & Dohme Corp,Web Developer,United Arab Emirates,Dubai,,Full Time
Wicresoft,Technical Support Engineer-Freelancer,Egypt,Cairo,,Freelance / Project
Four Seasons Hotels and Resorts,Server - PenRose,United Arab Emirates,Dubai,,Full Time
Confidential,IT Officer,Egypt,Giza,,Full Time
BSmart,Senior Software Sales Representative,Egypt,Cairo,Maadi,Full Time
Confidential,Senior Devops Engineer,Egypt,Cairo,Nasr City,Full Time
Confidential,Technical Support Engineer,Egypt,Cairo,Nasr City,Full Time
Confidential,IT Apps Delivery Manager,Egypt,Cairo,Nasr City,Full Time
Confidential,Business Analyst,Egypt,Cairo,Nasr City,Full Time
Jessour Misr,Junior IT Specialist,Egypt,Giza,Abu Rawash,Full Time
Horizon Agency,Senior Full Stack Developer,Egypt,Cairo,New Cairo,Full Time
Horizon Agency,WordPress Developer,Egypt,Cairo,New Cairo,Full Time
LINK Development,.Net Development Manager,Egypt,Cairo,Maadi,Full Time
Fawry for Banking Technology and Electronic Payments S.A.E,IT Help Desk Engineer,Egypt,Giza,6th of October,Full Time
Perfect Presentation,Quality Control Engineer,Egypt,Giza,6th of October,Full Time
Safa Soft,Scrum Master,Egypt,Cairo,Maadi,Full Time
Confidential,Network Engineer,Egypt,Cairo,Maadi,Full Time
Confidential,IT Help Desk Technician,Egypt,Cairo,Basatin,Full Time
ICIS,Full Stack Team Lead .Net & Angular,Egypt,Cairo,New Cairo,Full Time
ICIS,Senior Full Stack Developer .Net + Angular,Egypt,Cairo,New Cairo,Full Time
PETC,Senior SEO / Senior Search Engine Optimization,Egypt,Giza,Mohandessin,Full Time
Confidential,Senior Backend Software Engineer - (.Net),Egypt,Cairo,,Full Time
Holix,Python Web Developer - Graduate Position,Egypt,Cairo,,Full Time
"Honeywell International, Inc.",Cyber Security Architect/Engineer ll-ICS/OT-Saudi National Only,Saudi Arabia,Riyadh,,Full Time
Ejada,.NET production Support Engineer (KSA),Saudi Arabia,Riyadh,,Full Time
ManpowerGroup Middle East,DLP Engineer,Saudi Arabia,Riyadh,,Full Time
BDO Esnad,IT Voice Administrator,Egypt,Cairo,Maadi,Full Time
The Address Investments for Real Estate Consultancy,Senior SEO Specialist,Egypt,Cairo,New Cairo,Full Time
Confidential,UI UX Designer,Egypt,Cairo,Maadi,Full Time
ACT Advanced Computer Technology,Network & Security Senior Specialist,Egypt,Cairo,,Full Time
Confidential,IT Technical Support Specialist,Egypt,Cairo,Nasr City,Full Time
intella,Backend Developer,Egypt,Giza,Dokki,Full Time
Algoriza,Technical SME Engineer,Egypt,Giza,,Full Time
eSense,Sr. Mobile Developer,Jordan,Amman,,Full Time
Asset Technology Group,.Net Technical Lead,Egypt,Cairo,Sheraton,Full Time
Asset Technology Group,Sr. Java Developer,Egypt,Cairo,Sheraton,Full Time
Kgroup,Senior System and Network Administrator,Egypt,Cairo,,Full Time
Kgroup,IT Help Desk,Egypt,Cairo,,Full Time
Zewail City,Senior Backend Developer - Part Time,Egypt,Giza,6th of October,Part Time
Charterhouse Middle East,Azure Cloud Administrator,United Arab Emirates,Dubai,,Full Time
Sio365,ENQUIRY FOR OBSTACLES PRODUCTS,United Arab Emirates,Dubai,,Full Time
Sio365,RFQ - BEST RATE FOR SUPPLY OF DOOR KICK PLATE,United Arab Emirates,Dubai,,Full Time
Technotown,Odoo Developer,Egypt,Cairo,,Full Time
Teachanywhere,"business management and individuals and societies, dubai",United Arab Emirates,Dubai,,Full Time
Kgroup,IT Operations Manager,Egypt,Cairo,,Full Time
Safa Soft,Senior PHP Developer (Laravel),Egypt,Cairo,Maadi,Full Time
Breadfast,Quality Control Inspector,Egypt,Cairo,,Full Time
Smart Cards application,Senior Database Administrator,Egypt,Giza,6th of October,Full Time
Cepack,Technical Support Specialist-Cairo,Egypt,Cairo,,Full Time
Cepack,Technical Support Specialist,Egypt,Alexandria,Bourj Alarab,Full Time
Informatique Education,Senior Front End Developer,Egypt,Cairo,,Full Time
3D Diagnostix,Senior Back-End Developer (Node Js),Egypt,Cairo,Maadi,Full Time
Royal Cyber,Scrum Master- saudi national,Saudi Arabia,Riyadh,,Full Time
Confidential,IT Help Desk,Egypt,Suez,,Full Time
